标的,变体,收益%,回撤%,Calmar,Sharpe,交易数
工业富联,V7 满仓+25%追踪+MA20回补,57.85236677626953,-45.39576379273665,0.5063414251112718,0.6149553305197285,7
工业富联,V8 满仓+25%追踪+MA20/60回补,42.91309935416794,-49.82888743933075,0.3525411380083675,0.542297867302283,4
工业富联,V9 满仓+20%追踪+MA20/60回补,91.64176647392452,-45.39413944467745,0.7553255259788076,0.8784113260881649,4
工业富联,V10 满仓+25%追踪+回补需高于MA20 5%,39.805472336341175,-50.91991697055397,0.32209551619619686,0.5190758534917707,4
胜宏科技,V0 买入持有,695.74288594341,-54.10092622985151,2.8837605682114464,1.563842544124054,1
胜宏科技,V1 MA20/60 买5%卖5%,134.76125459080964,-39.028286089315024,1.210021534377564,0.9343385669470708,9
胜宏科技,V2 MA20/60 买0%卖5%,129.1794004255453,-51.63753687476634,0.8836218164899448,0.8995924520629112,13
胜宏科技,V3 MA20/60 买0%卖8%,127.5053669994696,-55.0083707619183,0.8206926046146813,0.8869247428629504,10
胜宏科技,V5 分级(满/半/空),137.08364581738283,-52.04409194313647,0.9200544939381448,0.9198422647768694,15
胜宏科技,V6 满仓+25%追踪(无条件回补),883.787100989969,-50.47622059832857,3.6027108903101497,1.690311067489818,8
胜宏科技,V7 满仓+25%追踪+MA20回补,352.00105397076237,-41.95895798139426,2.3385341836607196,1.2756627684179749,7
胜宏科技,V8 满仓+25%追踪+MA20/60回补,265.0834111899184,-45.58194549327938,1.751669219223426,1.209010963454387,5
胜宏科技,V9 满仓+20%追踪+MA20/60回补,166.44705042498606,-52.05999239337874,1.0741520191665506,0.9880723862698103,7
胜宏科技,V10 满仓+25%追踪+回补需高于MA20 5%,220.18144965368117,-49.180457073993765,1.4123277849929865,1.117330065937587,5
国际复材,V0 买入持有,670.1348726415288,-50.81339663927058,2.996189199417809,1.546112789086409,1
国际复材,V1 MA20/60 买5%卖5%,822.8246107857896,-28.880359124122023,6.017814320825725,1.9086650367760074,5
国际复材,V2 MA20/60 买0%卖5%,770.2497995712046,-33.06361822496952,5.039172709348095,1.8471952548522192,6
国际复材,V3 MA20/60 买0%卖8%,639.5895636021426,-34.59650814531542,4.268114516488597,1.7224589711952247,6
国际复材,V5 分级(满/半/空),427.7317348821721,-43.28131182789511,2.6000177263340425,1.4768866391164297,12
国际复材,V6 满仓+25%追踪(无条件回补),584.1562822724795,-56.155224858983985,2.476514045659501,1.4809116916935479,8
国际复材,V7 满仓+25%追踪+MA20回补,800.9995453479837,-39.668504711097576,4.30675545070431,1.7403632368706574,5
国际复材,V8 满仓+25%追踪+MA20/60回补,443.24602928945876,-39.668501381961754,2.907636965663039,1.4626314721753104,5
国际复材,V9 满仓+20%追踪+MA20/60回补,406.32116976208704,-42.9120012197193,2.530289914617348,1.3957638484394066,7
国际复材,V10 满仓+25%追踪+回补需高于MA20 5%,379.626012419556,-39.66846133643834,2.6096711226970357,1.3953769400542404,5
