标的,变体,窗口,收益%,回撤%,Sharpe,Calmar,交易数
沪电股份,F1 砍掉B3(A|B1|B2|C),2026,30.298392391370555,-26.126212069121244,0.9658047442514026,1.8519507792876717,15
沪电股份,F2 只留B1+B2,25-01~26-09,103.00782938459147,-44.38025311238979,1.0767999951491618,1.221311656998103,24
沪电股份,F2 只留B1+B2,2026,29.57865040388028,-23.218746629864008,0.9575443278429089,2.0312864106796207,11
沪电股份,F3 现配置+两融gate,25-01~26-09,64.07028674321245,-43.76146273043865,0.8212196882615328,0.8082506242083854,17
沪电股份,F3 现配置+两融gate,2026,12.85671036657352,-24.457949196841554,0.5656715518978614,0.8080646938336485,6
沪电股份,F4 B1+B2+两融gate,25-01~26-09,65.45258991027725,-44.38000160639921,0.8334295453967127,0.8126787032911607,15
沪电股份,F4 B1+B2+两融gate,2026,19.095279187972736,-23.218746629864008,0.7228749239043543,1.2820750573786892,5
生益科技,F0 现配置(A|B1|B2|B3|C),25-01~26-09,205.02623696545044,-44.472466410161495,1.5037839302050997,2.199305952871218,37
生益科技,F0 现配置(A|B1|B2|B3|C),2026,46.388750622710816,-33.84043661454598,1.3611070117904387,2.2611837365651644,22
生益科技,F1 砍掉B3(A|B1|B2|C),25-01~26-09,205.02623696545044,-44.472466410161495,1.5037839302050997,2.199305952871218,37
生益科技,F1 砍掉B3(A|B1|B2|C),2026,46.388750622710816,-33.84043661454598,1.3611070117904387,2.2611837365651644,22
生益科技,F2 只留B1+B2,25-01~26-09,209.7472057302387,-44.86208035215269,1.5315648472123036,2.221822082932647,32
生益科技,F2 只留B1+B2,2026,55.66534450574536,-29.99262881288609,1.5580194862429797,3.115963477664457,20
生益科技,F3 现配置+两融gate,25-01~26-09,281.852805526913,-35.66888882263963,1.7939728541730915,3.558930298465079,20
生益科技,F3 现配置+两融gate,2026,56.491490307378214,-27.93141965721233,1.6227562899643602,3.4007894811291663,9
生益科技,F4 B1+B2+两融gate,25-01~26-09,277.573742564604,-36.81623287031655,1.7926540218589544,3.4056764204223566,17
生益科技,F4 B1+B2+两融gate,2026,65.59122911666499,-25.247015228144008,1.8172997608632853,4.441506379261148,8
工业富联,F0 现配置(A|B1|B2|B3|C),25-01~26-09,211.32470117805,-29.713465797210368,1.7647802544227846,3.3754711012056418,26
工业富联,F0 现配置(A|B1|B2|B3|C),2026,1.5223376089964713,-19.569448039979832,0.1814979731512285,0.11642937677080377,15
工业富联,F1 砍掉B3(A|B1|B2|C),25-01~26-09,211.32470117805,-29.713465797210368,1.7647802544227846,3.3754711012056418,26
工业富联,F1 砍掉B3(A|B1|B2|C),2026,1.5223376089964713,-19.569448039979832,0.1814979731512285,0.11642937677080377,15
工业富联,F2 只留B1+B2,25-01~26-09,201.19140671040233,-27.439455263790357,1.729660139109698,3.508951820347831,22
工业富联,F2 只留B1+B2,2026,2.7965516023942927,-19.568609353470812,0.2338366791335004,0.214553216262078,12
工业富联,F3 现配置+两融gate,25-01~26-09,165.08292752493267,-27.54288303476351,1.5730549569705288,2.960312413345688,14
工业富联,F3 现配置+两融gate,2026,1.169247660813566,-18.623371752056638,0.1588742267578068,0.09388684614897595,7
工业富联,F4 B1+B2+两融gate,25-01~26-09,153.1659318664507,-26.15767327307307,1.5157730617253204,2.9245458679764713,12
工业富联,F4 B1+B2+两融gate,2026,1.125488261646579,-18.62359765936371,0.1569340587581141,0.09036236429965028,6
胜宏科技,F0 现配置(A|B1|B2|B3|C),25-01~26-09,79.89017912825072,-60.31198768597048,0.838871259635914,0.7164527373320361,40
胜宏科技,F0 现配置(A|B1|B2|B3|C),2026,-34.306003546006366,-37.8881345015955,-1.334732683599272,-1.2287454363718913,26
胜宏科技,F1 砍掉B3(A|B1|B2|C),25-01~26-09,79.89017912825072,-60.31198768597048,0.838871259635914,0.7164527373320361,40
胜宏科技,F1 砍掉B3(A|B1|B2|C),2026,-34.306003546006366,-37.8881345015955,-1.334732683599272,-1.2287454363718913,26
