收益%,回撤%,Sharpe,Calmar,交易数,在场%,标的,变体,ATR%中位
56.31040258234199,-42.52659852082288,0.6415434150579138,0.527664748155413,10,40.827338129496404,沪电股份,ATR k=0.6 无追踪,4.997628489800526
49.17727572522359,-35.460585690618686,0.6029412153771357,0.5604808829625803,14,37.589928057553955,沪电股份,ATR k=0.6 追踪2.0xATR,4.997628489800526
81.04210179311879,-31.49643065056865,0.8259351505567923,0.9800655958956634,11,37.589928057553955,沪电股份,ATR k=1.0 追踪2.0xATR,4.997628489800526
-25.02476788263578,-48.357182047720485,-0.21025518818693636,-0.25306858956462114,26,34.71223021582734,沪电股份,ATR k=0.4 追踪1.5xATR,4.997628489800526
195.2754836443984,-54.46542927048124,1.0688543263781247,1.1631611387185192,5,99.10071942446042,沪电股份,满仓+25%追踪(无趋势过滤),4.997628489800526
275.98036002183983,-43.76664269242766,1.2522705019067142,1.8794656647339998,15,97.3021582733813,沪电股份,满仓+2.5xATR追踪,4.997628489800526
663.7336430435845,-46.53836872234619,1.7729272596941419,3.250954308780473,1,99.82014388489209,生益科技,买入持有,4.894388192575762
432.51076799896293,-24.55241454469205,1.8826756465429328,4.6187861111324,5,48.92086330935252,生益科技,FIX 买带5/卖带5,4.894388192575762
432.51076799896293,-24.55241454469205,1.8826756465429328,4.6187861111324,5,48.92086330935252,生益科技,FIX 买带5/卖带5+追踪18%,4.894388192575762
266.7606466421775,-23.892774334771694,1.531255146095497,3.3574375773777883,10,45.68345323741007,生益科技,ATR k=0.6 无追踪,4.894388192575762
293.17832489885757,-22.637898728399097,1.6275459376010113,3.7985095588471056,14,42.985611510791365,生益科技,ATR k=0.6 追踪2.0xATR,4.894388192575762
304.3963197072826,-20.837362131129122,1.6747249638846742,4.241272586177944,12,42.44604316546763,生益科技,ATR k=1.0 追踪2.0xATR,4.894388192575762
181.75937443695327,-31.476832768890116,1.2704701297135128,1.9036097359051265,20,41.007194244604314,生益科技,ATR k=0.4 追踪1.5xATR,4.894388192575762
745.2224743264031,-48.53995785030333,1.8633266941826185,3.3603317552736596,6,98.92086330935251,生益科技,满仓+25%追踪(无趋势过滤),4.894388192575762
660.2797114183809,-54.55203523956935,1.794902850131682,2.763936949260421,18,96.76258992805755,生益科技,满仓+2.5xATR追踪,4.894388192575762
185.79194226222313,-45.27698646768159,1.0767590288288498,1.3462234112214142,1,99.82014388489209,工业富联,买入持有,4.513397612026111
117.84067240862082,-30.075220016865035,1.0943639357786559,1.4070436551997618,6,30.575539568345324,工业富联,FIX 买带5/卖带5,4.513397612026111
