date,open,high,low,close,volume,amount,turnover
2024-12-04,4.15,4.16,4.06,4.11,24909203.0,102555121.0,0.042736377392314964
2024-12-05,4.15,4.29,4.15,4.25,62435336.0,263219282.0,0.1071194482582196
2024-12-06,4.21,4.56,4.15,4.4,96597714.0,419895149.0,0.16573137088083095
2024-12-09,4.4,4.5,4.34,4.41,63253174.0,278704948.0,0.10852260167961876
2024-12-10,4.55,4.63,4.39,4.4,90838900.0,409668420.0,0.1558510528138038
2024-12-11,4.36,4.55,4.34,4.5,67402839.0,300673023.0,0.11564212491332804
2024-12-12,4.45,4.71,4.42,4.66,109533862.0,501664940.0,0.18792574229170428
2024-12-13,4.6,4.6,4.37,4.4,84137408.0,375928960.0,0.1443533950523901
2024-12-16,4.37,4.39,4.24,4.27,43349369.0,185817433.0,0.07437391687332265
2024-12-17,4.24,4.28,4.1,4.12,32612725.0,135870483.0,0.05595320425915615
2024-12-18,4.16,4.24,4.12,4.14,26205473.0,109268636.0,0.044960370023565996
2024-12-19,4.1,4.14,4.04,4.09,24775273.0,101265806.0,0.04250659553120312
2024-12-20,4.11,4.15,4.09,4.12,19794164.0,81455882.0,0.03396057524880964
2024-12-23,4.1,4.1,3.91,3.91,33264424.0,132367775.0,0.05707131528062055
2024-12-24,3.93,3.99,3.88,3.92,18828740.0,73939930.0,0.032304210554700466
2024-12-25,3.91,3.92,3.79,3.84,22958900.0,88140436.0,0.039390269327863284
2024-12-26,3.84,3.94,3.81,3.91,18863200.0,73682905.0,0.01343156868072597
2024-12-27,3.89,3.99,3.87,3.95,17193778.0,68001711.0,0.012242854345400315
2024-12-30,3.95,3.95,3.81,3.83,20757547.0,79957318.0,0.014780441185689455
2024-12-31,3.83,3.86,3.68,3.7,22340932.0,83906498.0,0.015907892751464685
2025-01-02,3.69,3.72,3.43,3.47,41440100.0,147929031.0,0.02950748278585565
2025-01-03,3.49,3.51,3.33,3.35,26745783.0,91206408.0,0.01904437323912661
2025-01-06,3.33,3.39,3.28,3.37,17827150.0,59695378.0,0.012693847788636286
2025-01-07,3.37,3.44,3.35,3.43,15766251.0,53545145.0,0.01122638169261125
2025-01-08,3.43,3.45,3.3,3.39,19670211.0,66369365.0,0.014006202023562888
2025-01-09,3.37,3.44,3.36,3.43,16833362.0,57507139.0,0.011986219614409151
2025-01-10,3.42,3.47,3.32,3.32,15879131.0,53825992.0,0.011306758058905427
2025-01-13,3.29,3.36,3.25,3.3,25226762.0,83477375.0,0.017962752152091272
2025-01-14,3.31,3.43,3.29,3.42,47474950.0,158975091.0,0.03380460640501248
2025-01-15,3.39,3.41,3.32,3.36,32179700.0,108177796.0,0.02291360165163692
2025-01-16,3.38,3.5,3.37,3.4,28970150.0,99463017.0,0.020628236959579153
2025-01-17,3.38,3.4,3.33,3.37,17587639.0,59196585.0,0.012523303636727313
2025-01-20,3.4,3.44,3.36,3.4,19789839.0,67397236.0,0.014091383312959062
