date,open,high,low,close,volume
2025-02-27,4891.944,4917.834,4809.415,4874.771,2463297224
2025-02-28,4843.812,4848.158,4674.114,4687.271,2140414879
2025-03-03,4703.516,4808.87,4675.052,4737.082,1905011918
2025-03-04,4689.204,4755.406,4668.997,4745.185,1561128125
2025-03-05,4744.767,4768.477,4707.148,4739.143,1530118824
2025-03-06,4766.731,4832.24,4759.596,4814.584,2061250533
2025-03-07,4794.529,4797.898,4733.898,4756.308,1792360118
2025-03-10,4764.814,4781.015,4712.205,4748.168,1419647520
2025-03-11,4691.417,4770.621,4687.734,4755.905,1827047434
2025-03-12,4764.588,4768.251,4715.133,4726.093,1950654905
2025-03-13,4721.903,4731.09,4631.989,4655.908,1604883508
2025-03-14,4652.604,4767.062,4639.793,4758.043,1830298845
2025-03-17,4775.486,4781.045,4720.271,4727.375,1791749641
2025-03-18,4748.325,4786.504,4733.244,4746.022,1559136232
2025-03-19,4733.282,4766.116,4708.955,4739.223,1481471019
2025-03-20,4733.371,4735.148,4677.754,4682.011,1202402138
2025-03-21,4669.723,4691.43,4580.82,4588.069,1516111661
2025-03-24,4588.106,4602.125,4534.738,4588.129,1298486506
2025-03-25,4590.136,4610.82,4556.333,4577.18,1124745896
2025-03-26,4570.094,4599.552,4565.236,4566.171,960992244
2025-03-27,4551.389,4628.155,4530.086,4590.384,978713615
2025-03-28,4577.224,4600.628,4549.985,4549.985,830199422
2025-03-31,4531.466,4547.434,4470.285,4498.996,1037621655
2025-04-01,4508.292,4543.766,4482.681,4494.568,942312546
2025-04-02,4498.107,4521.815,4475.367,4486.078,747849149
2025-04-03,4434.288,4457.942,4380.602,4388.86,1171417042
2025-04-07,4107.186,4162.369,3800.203,3899.205,2453184037
2025-04-08,3952.572,4043.806,3908.688,3967.169,1996181504
2025-04-09,3897.487,4038.34,3840.132,4000.805,1956541591
2025-04-10,4120.462,4178.027,4078.983,4089.809,1796708258
2025-04-11,4066.158,4193.895,4063.134,4162.151,1451829829
2025-04-14,4226.362,4227.358,4158.847,4167.945,1341428667
2025-04-15,4170.102,4183.049,4133.391,4156.784,982500262
2025-04-16,4135.371,4137.894,4062.311,4119.9,1013526521
2025-04-17,4091.029,4173.116,4090.073,4146.493,845923296
2025-04-18,4136.334,4149.13,4109.728,4139.41,828905333
2025-04-21,4127.186,4191.816,4108.397,4185.386,1130557370
2025-04-22,4175.33,4195.887,4159.222,4172.445,1106558387
2025-04-23,4208.587,4230.204,4177.249,4200.643,1318203319
2025-04-24,4197.551,4219.915,4159.177,4165.072,1018934886
2025-04-25,4161.884,4204.947,4153.065,4176.734,1030599292
2025-04-28,4179.48,4179.48,4135.574,4147.684,939236734
2025-04-29,4132.667,4168.584,4126.375,4148.882,956672842
2025-04-30,4156.999,4207.205,4146.038,4194.834,1064419393
2025-05-06,4232.549,4258.606,4211.771,4258.606,1300106383
2025-05-07,4325.04,4342.507,4240.817,4267.83,1280233135
2025-05-08,4255.856,4334.411,4250.907,4312.54,1039046233
2025-05-09,4311.408,4311.408,4254.38,4270.06,953509819
2025-05-12,4331.222,4380.353,4326.361,4378.499,1187587320
2025-05-13,4430.403,4430.403,4369.77,4375.65,1160506331
2025-05-14,4363.751,4419.376,4333.591,4385.458,1040008691
2025-05-15,4375.103,4375.103,4308.267,4308.423,912435700
2025-05-16,4294.332,4321.033,4287.113,4294.435,766493586
2025-05-19,4294.219,4294.257,4254.653,4287.735,715837535
2025-05-20,4300.282,4335.055,4263.974,4314.127,870775351
2025-05-21,4319.999,4371.213,4312.667,4348.35,945036206
2025-05-22,4347.63,4347.63,4301.122,4304.178,916598516
2025-05-23,4296.824,4343.839,4274.177,4274.177,952272922
2025-05-26,4255.967,4269.7,4212.835,4233.244,756957962
2025-05-27,4229.055,4229.055,4190.973,4204.954,620541235
2025-05-28,4211.822,4231.628,4199.385,4204.02,592660806
2025-05-29,4209.809,4262.32,4205.159,4259.02,930307342
2025-05-30,4242.875,4243.209,4209.53,4211.292,1144972219
2025-06-03,4199.731,4270.454,4198.413,4253.246,1392965834
2025-06-04,4252.052,4270.793,4242.849,4258.448,1142917166
2025-06-05,4265.72,4327.016,4252.067,4316.717,1400249999
2025-06-06,4314.921,4314.921,4271.962,4279.883,1045718506
2025-06-09,4286.147,4344.825,4284.3,4320.064,1165343714
2025-06-10,4315.213,4335.21,4252.85,4277.24,1236085637
2025-06-11,4286.698,4355.732,4286.698,4330.259,1198196802
2025-06-12,4323.777,4346.595,4305.617,4327.763,1112736719
2025-06-13,4307.84,4342.358,4283.59,4287.483,1430900415
2025-06-16,4274.128,4298.288,4273.213,4288.157,1287765003
2025-06-17,4289.441,4294.296,4266.211,4279.109,1196575584
2025-06-18,4274.494,4293.757,4264.237,4274.329,1204032492
2025-06-19,4271.945,4284.233,4208.303,4218.624,1236942805
2025-06-20,4213.291,4232.977,4191.175,4196.291,1133217696
2025-06-23,4177.211,4217.193,4176.361,4208.33,1148436925
2025-06-24,4219.436,4296.478,4219.436,4294.095,1630601146
2025-06-25,4297.793,4393.186,4295.206,4384.587,1670818137
2025-06-26,4381.555,4395.59,4350.589,4351.907,1635393597
2025-06-27,4375.562,4395.223,4343.104,4346.617,1403409961
2025-06-30,4358.393,4400.955,4358.393,4398.511,1643922093
2025-07-01,4395.458,4395.458,4359.731,4380.68,1321666519
2025-07-02,4375.822,4377.962,4342.184,4350.841,1140090035
2025-07-03,4356.826,4412.293,4356.826,4403.307,1242131306
2025-07-04,4409.793,4447.729,4375.13,4402.531,1412889034
2025-07-07,4395.419,4409.873,4350.17,4354.253,1120165286
2025-07-08,4353.247,4444.16,4352.812,4429.937,1452362372
2025-07-09,4427.317,4464.33,4421.142,4431.854,1245377868
2025-07-10,4445.624,4468.896,4425.406,4446.788,1315539343
2025-07-11,4447.886,4505.011,4439.132,4475.932,1367289908
2025-07-14,4473.525,4474.752,4433.837,4448.853,1122232747
2025-07-15,4448.063,4477.516,4405.406,4438.432,1286081089
2025-07-16,4438.261,4452.251,4416.02,4429.528,1035436007
2025-07-17,4433.08,4464.752,4430.531,4464.752,1237718036
2025-07-18,4480.178,4497.61,4449.41,4491.101,1142169847
2025-07-21,4507.372,4544.31,4498.712,4542.751,1217542713
2025-07-22,4538.649,4591.668,4529.228,4591.668,1401093671
2025-07-23,4597.65,4630.133,4573.975,4582.287,1224652970
2025-07-24,4587.369,4638.106,4581.862,4637.813,1378493134
2025-07-25,4637.083,4648.958,4609.502,4623.345,1107222600
2025-07-28,4628.468,4644.102,4602.888,4631.993,1102426480
2025-07-29,4628.082,4662.362,4588.254,4662.362,1329273665
2025-07-30,4655.121,4675.485,4585.667,4613.789,1532726969
2025-07-31,4618.525,4634.217,4512.79,4523.105,1823444372
2025-08-01,4535.946,4579.972,4508.62,4541.811,1548316612
2025-08-04,4521.375,4565.631,4517.112,4565.631,1346118346
2025-08-05,4574.253,4586.675,4556.77,4580.854,1190170668
2025-08-06,4576.363,4610.781,4575.419,4609.889,1525437776
2025-08-07,4614.745,4628.441,4571.788,4589.673,1419383735
